Scenario,Portfolio,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM
Market Crash,Equal Weight,-0.03125,0.0125,-0.0375,-0.03125,-0.04375,-0.03125,0.01,-0.025
Market Crash,Equity Heavy,-0.0375,0.005000000000000001,-0.03,-0.0375,-0.0525,-0.0625,0.004,-0.020000000000000004
Market Crash,Defensive,-0.0125,0.025,-0.0,-0.0125,-0.0,-0.075,0.027999999999999997,-0.0
Market Crash,Growth Tech,-0.0625,0.005000000000000001,-0.0,-0.0625,-0.0875,-0.0375,0.004,-0.0
Market Crash,Balanced,-0.025,0.010000000000000002,-0.015,-0.025,-0.017499999999999998,-0.0875,0.016,-0.010000000000000002
Tech Selloff,Equal Weight,-0.03125,0.00625,-0.0125,-0.03125,-0.05,-0.01875,0.00375,-0.00625
Tech Selloff,Equity Heavy,-0.0375,0.0025000000000000005,-0.010000000000000002,-0.0375,-0.06,-0.0375,0.0015,-0.005000000000000001
Tech Selloff,Defensive,-0.0125,0.0125,-0.0,-0.0125,-0.0,-0.045,0.010499999999999999,-0.0
Tech Selloff,Growth Tech,-0.0625,0.0025000000000000005,-0.0,-0.0625,-0.1,-0.0225,0.0015,-0.0
Tech Selloff,Balanced,-0.025,0.005000000000000001,-0.005000000000000001,-0.025,-0.020000000000000004,-0.0525,0.006,-0.0025000000000000005
Interest Rate Shock,Equal Weight,-0.015,-0.00625,0.00625,-0.015,-0.025,-0.0125,-0.0225,0.0025
Interest Rate Shock,Equity Heavy,-0.018,-0.0025000000000000005,0.005000000000000001,-0.018,-0.03,-0.025,-0.009,0.002
Interest Rate Shock,Defensive,-0.006,-0.0125,0.0,-0.006,-0.0,-0.03,-0.063,0.0
Interest Rate Shock,Growth Tech,-0.03,-0.0025000000000000005,0.0,-0.03,-0.05,-0.015,-0.009,0.0
Interest Rate Shock,Balanced,-0.012,-0.005000000000000001,0.0025000000000000005,-0.012,-0.010000000000000002,-0.034999999999999996,-0.036,0.001
Energy Shock,Equal Weight,-0.01,0.01,-0.00625,-0.01,-0.015,-0.01,0.0025,0.025
Energy Shock,Equity Heavy,-0.012,0.004,-0.005000000000000001,-0.012,-0.018,-0.02,0.001,0.020000000000000004
Energy Shock,Defensive,-0.004,0.02,-0.0,-0.004,-0.0,-0.024,0.006999999999999999,0.0
Energy Shock,Growth Tech,-0.02,0.004,-0.0,-0.02,-0.03,-0.012,0.001,0.0
Energy Shock,Balanced,-0.008,0.008,-0.0025000000000000005,-0.008,-0.006,-0.027999999999999997,0.004,0.010000000000000002
Inflation Shock,Equal Weight,-0.01875,0.015,-0.00625,-0.01875,-0.03125,-0.015,-0.025,0.01875
Inflation Shock,Equity Heavy,-0.0225,0.006,-0.005000000000000001,-0.0225,-0.0375,-0.03,-0.010000000000000002,0.015
Inflation Shock,Defensive,-0.0075,0.03,-0.0,-0.0075,-0.0,-0.036,-0.06999999999999999,0.0
Inflation Shock,Growth Tech,-0.0375,0.006,-0.0,-0.0375,-0.0625,-0.018,-0.010000000000000002,0.0
Inflation Shock,Balanced,-0.015,0.012,-0.0025000000000000005,-0.015,-0.0125,-0.041999999999999996,-0.04000000000000001,0.0075
Risk-Off Scenario,Equal Weight,-0.0225,0.015,-0.025,-0.0225,-0.0375,-0.0225,0.0125,-0.01875
Risk-Off Scenario,Equity Heavy,-0.027,0.006,-0.020000000000000004,-0.027,-0.045,-0.045,0.005000000000000001,-0.015
Risk-Off Scenario,Defensive,-0.009,0.03,-0.0,-0.009,-0.0,-0.054,0.034999999999999996,-0.0
Risk-Off Scenario,Growth Tech,-0.045,0.006,-0.0,-0.045,-0.075,-0.027,0.005000000000000001,-0.0
Risk-Off Scenario,Balanced,-0.018,0.012,-0.010000000000000002,-0.018,-0.015,-0.063,0.020000000000000004,-0.0075
